Entry Time,Direction,Entry Price,Exit Time,Exit Price,Result,PnL
2025-04-02 09:35:00+05:30,BUY,1252.05,2025-04-02 09:50:00+05:30,1288.4,TP,36.35
2025-04-02 10:10:00+05:30,BUY,1251.8,2025-04-02 10:25:00+05:30,1278.45,TP,26.65
2025-04-02 10:15:00+05:30,BUY,1252.4,2025-04-02 10:30:00+05:30,1284.4,TP,32.0
2025-04-02 10:20:00+05:30,BUY,1252.4,2025-04-02 10:30:00+05:30,1286.77,TP,34.37
2025-04-02 10:25:00+05:30,BUY,1255.5,2025-04-02 11:15:00+05:30,1286.94,TP,31.44
2025-04-02 10:30:00+05:30,BUY,1254.7,2025-04-02 11:00:00+05:30,1281.12,TP,26.42
2025-04-02 10:35:00+05:30,BUY,1255.0,2025-04-02 10:55:00+05:30,1285.2,TP,30.2
2025-04-02 10:40:00+05:30,BUY,1252.8,2025-04-02 11:00:00+05:30,1287.72,TP,34.92
2025-04-02 10:45:00+05:30,BUY,1254.1,2025-04-02 11:00:00+05:30,1229.02,SL,-25.08
2025-04-02 10:50:00+05:30,BUY,1254.5,2025-04-02 11:05:00+05:30,1284.73,TP,30.23
2025-04-02 10:55:00+05:30,BUY,1254.4,2025-04-02 11:25:00+05:30,1288.98,TP,34.58
2025-04-02 11:00:00+05:30,BUY,1254.25,2025-04-02 11:50:00+05:30,1229.16,SL,-25.09
2025-04-02 11:05:00+05:30,BUY,1254.2,2025-04-02 11:45:00+05:30,1281.43,TP,27.23
2025-04-02 11:10:00+05:30,BUY,1253.5,2025-04-02 11:40:00+05:30,1289.18,TP,35.68
2025-04-02 12:30:00+05:30,BUY,1251.85,2025-04-02 13:25:00+05:30,1288.11,TP,36.26
2025-04-02 12:35:00+05:30,BUY,1252.2,2025-04-02 13:10:00+05:30,1285.0,TP,32.8
2025-04-02 12:40:00+05:30,BUY,1253.25,2025-04-02 12:55:00+05:30,1280.09,TP,26.84
2025-04-02 12:45:00+05:30,BUY,1253.6,2025-04-02 13:10:00+05:30,1288.65,TP,35.05
2025-04-02 12:50:00+05:30,BUY,1252.1,2025-04-02 13:05:00+05:30,1288.03,TP,35.93
2025-04-02 13:00:00+05:30,BUY,1252.0,2025-04-02 13:15:00+05:30,1282.58,TP,30.58
